City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Nouadhibou,MR,20.931,-17.0347,69.78,83,0,12.66,clear sky
334,Bethel,US,41.3712,-73.414,79.16,58,1,5.75,clear sky
335,Luderitz,NA,-26.6481,15.1594,66.61,37,0,2.64,clear sky
336,Ingham,US,42.6,-84.3833,76.57,56,40,3.44,scattered clouds
337,Bonavista,CA,48.6499,-53.1147,68.0,69,100,12.8,overcast clouds
338,Palaikastron,GR,35.2,26.25,82.89,54,0,15.57,clear sky
339,Houma,US,29.5958,-90.7195,87.01,78,72,11.72,broken clouds
340,Salalah,OM,17.0151,54.0924,77.09,94,90,6.91,overcast clouds
341,Waingapu,ID,-9.6567,120.2641,76.44,82,79,8.19,broken clouds
342,Kemijarvi,FI,66.7131,27.4306,46.27,80,99,4.03,overcast clouds
343,Olga,RU,43.7444,135.2892,68.58,95,100,2.13,overcast clouds
344,Akyab,MM,20.15,92.9,77.05,95,100,9.17,overcast clouds
345,Constitucion,CL,-35.3333,-72.4167,54.95,72,0,8.46,clear sky
346,Ciudad Bolivar,VE,8.1222,-63.5497,74.7,90,99,3.94,overcast clouds
347,Sioux Lookout,CA,50.1001,-91.917,79.18,41,90,8.05,smoke
